resolution,parcel_idx,rho,r2,x,y,z,hemi
200,84,0.6031849332633864,0.9998929647789109,21.28265794792977,-8.4642954198087,19.965945377769554,rh
200,85,0.5984032238702046,0.9999090278936359,18.02428148364862,-9.707597966167238,31.15485750155325,rh
200,86,0.6027913256083118,0.9998899672844803,19.29024638891363,34.18950300902164,45.42478644202451,rh
200,87,0.6000828024431308,0.9999041015549546,17.99706990469059,19.538811545462657,55.69438429124208,rh
200,88,0.6021003131092588,0.999888163885141,43.71212247861096,-16.77493302508208,19.78340197398064,rh
200,89,0.6016216840142581,0.9998893637715154,38.24209518238952,-31.33813005907875,29.52858211446815,rh
200,90,0.5962227692830832,0.9999117839950602,34.4658529642222,-71.2688070944456,31.50722565494139,rh
200,91,0.5988915715885029,0.9998996295386837,34.68536494010064,-51.93836886488757,44.2135620736179,rh
200,92,0.5949284264539119,0.9999275962386803,38.80625536323492,-36.29927102665099,39.68737685710012,rh
200,93,0.5954107916385566,0.9999190686507529,30.564204192382544,-54.67319624171851,43.6815436577522,rh
200,94,0.5942759591766669,0.9999233147888068,26.314129988248283,-53.026654961903176,48.200400803928694,rh
200,95,0.5962793036492835,0.9999172487217697,19.540667678117423,-60.79244107535307,50.77666032039543,rh
200,96,0.5988665791658909,0.9999055731312789,15.799838606865992,-56.14915532147056,57.57620349416315,rh
200,97,0.5977699587799425,0.9999195721680484,17.75150308044928,-56.702603797314545,63.45087783600174,rh
200,98,0.6050174496381645,0.9999011866125112,21.827303049523973,6.790136883250362,-29.761536149761675,rh
200,99,0.6059350849581786,0.9998980468476386,30.93484928814044,15.216413186089051,-30.19384396262913,rh
200,100,0.605507232883472,0.9999012695627123,24.252940123147685,12.379532911462793,-24.37315382715537,rh
200,101,0.6120176494376607,0.9998849079639575,26.66057096326941,2.3222109753985927,-22.163941416005155,rh
200,102,0.5991226114780774,0.9999064786240405,37.2719951834742,1.4660297327446414,19.166673559974395,rh
200,103,0.6016729441113847,0.9998997619116576,34.928606782454786,-21.030321444086322,17.852432295751644,rh
200,104,0.6001482474400183,0.999898358563203,34.3464941080206,-12.332839735485669,27.673048477835298,rh
200,105,0.6044250600596747,0.9998907598304438,37.003373185547034,-17.258144256659325,32.955621039589595,rh
200,106,0.6019018453172515,0.9998898296381935,34.82042016016974,7.922827174522688,39.81969011671476,rh
200,107,0.6058102561952392,0.9998895643374607,54.16707049868234,-3.1325528045209343,-4.817231903234957,rh
200,108,0.6069845067118483,0.9998755088406699,57.82265752011318,-21.246229314707897,2.5805377914484064,rh
200,109,0.5971644661982385,0.9999163024782616,30.25300870902758,-16.06744214682083,45.009707586329085,rh
200,110,0.5958891979487227,0.9999210887260971,43.62654186797247,-20.685136152361807,50.032551554850734,rh
200,111,0.5957781995799214,0.999921200738364,23.1063302913902,-16.048808425270177,50.52966973551038,rh
200,112,0.5987802899987591,0.9999238120968122,33.29660760534196,-28.046807741171524,59.327392452005796,rh
200,113,0.597724259144633,0.999925273785123,30.99443399523553,-35.33386813177489,58.236218423503615,rh
200,114,0.5973721067390555,0.9999167881469347,16.12577094435692,-18.113215515098524,58.753225839492956,rh
200,115,0.5976392656414486,0.9999180004328909,14.978959981689512,-33.87089730427202,63.18280460928851,rh
200,116,0.5988913313670731,0.9999042933351536,21.45673280919187,-33.47273003513014,64.3245210145887,rh
200,117,0.5995776971922042,0.9998944256763415,15.217025597350988,-28.94089209376894,68.41437374303786,rh
200,118,0.6000735601012077,0.9998987339819597,9.831140104538182,-22.984873454380413,70.1281308537998,rh
200,119,0.6002544088375029,0.9999062125510904,39.01811635237716,-15.384067463395622,8.769840908003898,rh
200,120,0.5999293958733273,0.9999019849051682,10.677242035366314,-34.10032670977853,72.53431116032327,rh
200,121,0.6053439503044954,0.99988210809447,47.87861835317828,-25.720193781832375,12.222909155524823,rh
200,122,0.5990078660031087,0.999908322009427,51.2856404475355,-26.522128758208474,13.600076561964112,rh
200,123,0.6001859839063342,0.9999030207129747,44.63574491059063,-22.74810749657383,15.843775359965804,rh
200,124,0.5970857687229435,0.9999167584075004,53.46598255723939,-13.689503301163441,13.640066692127448,rh
200,125,0.6041955393967138,0.9998879799219937,61.14890832797789,-5.647441045528689,23.790083837070505,rh
200,126,0.6039458367371958,0.9998866464318391,57.32281049117863,-13.862374898433014,30.55988421231843,rh
200,127,0.5963827614605607,0.9999201217500888,49.2966108291577,-16.26672526792838,38.6225232611864,rh
