resolution,parcel_idx,rho,r2,label,hemi,network,x,y,z
400,82,0.5966643711287297,0.9999148759943541,7Networks_LH_DorsAttn_Post_13-lh,lh,DorsAttn,-15.236237032457543,-69.27501632643431,54.09764610619516
400,83,0.5987511015075173,0.9999078390088434,7Networks_LH_DorsAttn_Post_14-lh,lh,DorsAttn,-26.62689025998897,-60.30824582261152,58.1833988004712
400,84,0.5978211364290742,0.9999117102270277,7Networks_LH_DorsAttn_Post_15-lh,lh,DorsAttn,-9.955279937660416,-57.18201072912648,61.73898947549618
400,85,0.5985149394644341,0.9999096678362778,7Networks_LH_DorsAttn_Post_16-lh,lh,DorsAttn,-20.9414129970836,-53.92451153709775,63.16374481616377
400,86,0.5999842005478522,0.9999004660514073,7Networks_LH_DorsAttn_Post_17-lh,lh,DorsAttn,-15.386701867096406,-50.276124586138806,70.73036589658349
400,87,0.6066653061509476,0.9998780985409264,7Networks_LH_DorsAttn_Post_2-lh,lh,DorsAttn,-47.15596871878233,-54.06269714307735,-15.919451797095528
400,88,0.6070103609917301,0.9998721442880288,7Networks_LH_DorsAttn_Post_3-lh,lh,DorsAttn,-53.2125022771322,-62.25397700136548,-3.8142905067428297
400,89,0.6029250898619363,0.999883122435254,7Networks_LH_DorsAttn_Post_4-lh,lh,DorsAttn,-46.47895984177876,-67.84704178719133,11.128987582749277
400,90,0.5937823050499538,0.9999324530820046,7Networks_LH_DorsAttn_Post_5-lh,lh,DorsAttn,-26.4475365004726,-69.29530358625301,27.301863451909757
400,91,0.6013740340894304,0.9998933544846319,7Networks_LH_DorsAttn_Post_6-lh,lh,DorsAttn,-50.50214662977085,-33.157821261654995,40.64988930574648
400,92,0.5956928164695763,0.9999216997228719,7Networks_LH_DorsAttn_Post_7-lh,lh,DorsAttn,-23.56977437251323,-64.05671753754487,42.030502046121136
400,93,0.5957854712144879,0.9999245915420429,7Networks_LH_DorsAttn_Post_8-lh,lh,DorsAttn,-41.80453570444181,-31.00647144860758,38.730709529601945
400,94,0.5957343367011549,0.9999226054219803,7Networks_LH_DorsAttn_Post_9-lh,lh,DorsAttn,-33.93362460633502,-47.70593910757332,38.35676895789658
400,95,0.6012091402566301,0.999897678552472,7Networks_LH_DorsAttn_PrCv_1-lh,lh,DorsAttn,-47.97324231275872,6.2063375440996085,24.471581162030425
400,96,0.6006828405060587,0.9998991785725052,7Networks_LH_DorsAttn_PrCv_2-lh,lh,DorsAttn,-49.70606513484832,0.9781463359288248,36.64115305562173
400,97,0.6048307193944775,0.9999060914531617,7Networks_LH_Limbic_OFC_1-lh,lh,Limbic,-13.292980548075713,21.18468537236926,-21.08755740952804
400,98,0.6032746595903655,0.9999070249960713,7Networks_LH_Limbic_OFC_2-lh,lh,Limbic,-23.89638536037197,21.985710938771565,-20.290748986126232
400,99,0.6053453087715089,0.9999082090423086,7Networks_LH_Limbic_OFC_3-lh,lh,Limbic,-10.873434260217609,43.48105623411096,-23.46935508130253
400,100,0.6050719755844943,0.9999029953738038,7Networks_LH_Limbic_OFC_4-lh,lh,Limbic,-3.754660211937337,20.102923882762088,-18.793292442756364
400,101,0.6076203651618816,0.9998886777948756,7Networks_LH_Limbic_OFC_5-lh,lh,Limbic,-16.13442856102314,62.18571597164117,-7.906560958747399
400,102,0.6089410936686688,0.9998860745251547,7Networks_LH_Limbic_TempPole_1-lh,lh,Limbic,-39.70239196528656,-7.127084286019371,-41.0033975718879
400,103,0.6065403492374964,0.9998952750073637,7Networks_LH_Limbic_TempPole_2-lh,lh,Limbic,-26.86821711989882,4.227945093631065,-38.74394536141904
400,104,0.6079697180860921,0.9998931354294012,7Networks_LH_Limbic_TempPole_3-lh,lh,Limbic,-26.731302960713705,-10.89095298608144,-33.499243920644126
400,105,0.6089637318518958,0.9998748186492821,7Networks_LH_Limbic_TempPole_4-lh,lh,Limbic,-51.7472156144016,-24.36365758002192,-32.80556341572594
400,106,0.6081261749069459,0.9998789513878852,7Networks_LH_Limbic_TempPole_5-lh,lh,Limbic,-40.06220527048464,-23.021770585466317,-26.49928586129789
400,107,0.6083638324068136,0.999894310857543,7Networks_LH_Limbic_TempPole_6-lh,lh,Limbic,-47.4509777497353,8.622316963813343,-30.74130548409761
400,108,0.60643080575425,0.9998972078270145,7Networks_LH_Limbic_TempPole_7-lh,lh,Limbic,-33.55322896501292,7.815340258841119,-26.289559712617294
400,109,0.603877563780504,0.9998974448570286,7Networks_LH_Limbic_TempPole_8-lh,lh,Limbic,-20.833664374048976,-22.47760446266105,-25.046339268410676
400,110,0.6027777731687576,0.9999036316116984,7Networks_LH_SalVentAttn_FrOperIns_1-lh,lh,SalVentAttn,-44.27507714153524,-1.9691270553615543,-15.561208579821743
400,111,0.6022356057756322,0.9999041913513868,7Networks_LH_SalVentAttn_FrOperIns_2-lh,lh,SalVentAttn,-39.97043976865537,0.595864837537787,-6.664366941782386
400,112,0.6019982999202174,0.999911422292145,7Networks_LH_SalVentAttn_FrOperIns_3-lh,lh,SalVentAttn,-32.39046696366935,26.02637937874629,-0.3362175469819842
