parcel_idx,n_subjects,total_power,spectral_exponent,spectral_exponent_r2,delta_power,theta_power,alpha_power,beta_power,gamma_power,gamma_delta_ratio,fast_slow_ratio,peak_freq
134,203,0.8212116753918609,0.23563845634019168,0.776463818903449,0.10240792880341987,0.10244172555773573,0.12092181290823344,0.3244815183569064,0.17095868976556533,1.7184783513084716,2.458333500752396,1.3251231527093597
135,203,0.7918647716595015,0.2883980858324366,0.80245095677218,0.10589577280484593,0.10477881022775928,0.11818683157296697,0.3076617488951969,0.15534160815873246,1.5191089633823194,2.2435840203305064,1.6157635467980296
136,203,0.6747145145176346,0.2323768594811519,0.7608184240822607,0.08097886604642969,0.08424598707132447,0.1009097471688062,0.2682298506932655,0.1403500635378088,1.777239892074408,2.5105137697890565,1.9088669950738917
137,203,0.8278823426991357,0.483715450393634,0.8154678136033813,0.13310930310633207,0.1263532807865189,0.14638728254748307,0.29420416013242584,0.1278283161263758,1.00201253450572,1.6746868767942793,2.0911330049261085
138,203,0.8135725121300479,0.3699132892575032,0.7610068114649853,0.110005735700089,0.11243156956772195,0.14129531565781847,0.3076264944307718,0.14221339677364656,1.3583414364979485,2.086884128800882,2.502463054187192
139,203,0.7886748687442464,0.4770867003343473,0.7718645484268288,0.11783065352190661,0.12012374357181818,0.1441778655712813,0.28668680361608434,0.11985580246315604,1.0748670509746356,1.7760453201196846,3.1108374384236455
140,203,0.8256319192639094,0.5053831348752834,0.7631272080222387,0.12589405526403646,0.124638608271945,0.16082193571152395,0.2944615665039372,0.11981575351246684,1.0019392446112108,1.7132084654098976,2.852216748768473
141,203,0.8002837823665502,0.5190888455457223,0.8161547747539191,0.12797841289344372,0.14173592002758365,0.13075158535333917,0.2808098146618445,0.1190080494303391,0.9709970192788367,1.5409697788305754,1.980295566502463
142,203,0.8310595476450833,0.539032569882076,0.6692108287858985,0.11766651803710602,0.12428430710439542,0.18065325406710683,0.30085890663099163,0.10759656180548334,0.9708692663454479,1.778590878160218,5.435960591133005
143,203,0.8159032438722309,0.29667701921816575,0.8036695293028542,0.1175806249343179,0.1060399906214103,0.123576186776899,0.3085549685476868,0.16015147299191698,1.4023490274671995,2.1372310563027277,1.4310344827586208
144,203,0.7804596329950094,0.41448975078024286,0.6452395236801903,0.09804419642246408,0.10569450613686737,0.16121897345772077,0.29414420495423527,0.1213577520237218,1.3089607776077792,2.1182398905352047,5.096059113300493
145,203,0.7737980677510203,0.4228302604666087,0.6500918338965004,0.09980923270217748,0.10433655808865003,0.16073978340328013,0.2903140803030155,0.11859841325389732,1.2728479747902792,2.097347477284719,3.9482758620689653
146,203,0.8456136282888458,0.5910740141194802,0.62371272562903,0.11831381958317394,0.12063777708310792,0.20918940888737733,0.30131923226091983,0.09615339047426685,0.8785840293392864,1.764998361459258,5.004926108374384
147,203,0.8496051677255171,0.5919138138434564,0.7220617016559578,0.12860388835151204,0.12909103814467837,0.20398763858638955,0.2806758302862525,0.10724677235668476,0.8665083105326741,1.5566464381748397,4.859605911330049
148,203,0.8525692911027575,0.6239734119669966,0.7325716229588826,0.1326545799894171,0.15511230142074994,0.16834633939839758,0.29275533322657293,0.10370073706761974,0.8237366872836563,1.4597056773363588,4.093596059113301
149,203,0.8525755258079013,0.5016813698791063,0.8004335117411756,0.13228091241042197,0.15268328139965304,0.1369477622021118,0.29998742405146955,0.1306761457442448,1.04789708440814,1.5880511951046379,2.1330049261083746
150,203,0.7936102084047193,0.5265600587509474,0.6213876986690539,0.10188018136434289,0.11920325815582576,0.18533671883311656,0.28408829527715185,0.10310175477428214,1.074862645745681,1.8590915280343652,6.561576354679803
151,203,0.8242615289529218,0.5344113955815286,0.7182053718233891,0.12018997169182911,0.12306314570496858,0.17434127608960615,0.29446260475180175,0.11220453071471634,1.0121250380834184,1.7712568427147435,3.293103448275862
152,203,0.8308124787545436,0.5197098877137933,0.6064589005820451,0.105483216679027,0.11432082124858511,0.205009041473842,0.3001631650030235,0.10583623435006599,1.0737351405523878,1.9558180767345188,6.150246305418719
153,203,0.8146523417060788,0.49609807694445224,0.6597178795018991,0.10513618842741124,0.11700461202019011,0.18424796261876725,0.2951759957458381,0.11308758289387222,1.1536911955130325,1.9422965800724992,5.16256157635468
154,203,0.8134497936975973,0.48312855553560047,0.8660546866916828,0.16014248085500582,0.1177949100207668,0.1356330567437331,0.26974286928392555,0.13013647679416604,0.8371521011594002,1.464943762819315,1.4113300492610839
155,203,0.8368630869559095,0.5263871863386722,0.6975686128190935,0.12011739995542565,0.14413264791143077,0.15584621253095238,0.2990529998375124,0.11771382672058836,1.0477682436151428,1.6795138862250547,4.652709359605911
156,203,0.7973898966503665,0.48124288881293303,0.7140667728247981,0.10657913097339605,0.12418758148601228,0.1582313615950835,0.28962500466714475,0.1187668179287299,1.1813589743811688,1.8543344273002995,4.4507389162561575
157,203,0.8321118757007167,0.4797666583745251,0.686576783858202,0.10810714473886446,0.12244059220942786,0.1828171723419419,0.2961357392297505,0.12261122718073188,1.194688914393478,1.9048391226472652,4.886699507389163
158,203,0.8119211414220544,0.5340408247956557,0.7168105966570322,0.11562269994096921,0.13996289550950378,0.1546683611733275,0.28824239481565345,0.11342478998260046,1.0539113676499852,1.6821363267586198,4.298029556650246
159,203,0.7946301677556625,0.38024173523771826,0.742482925581698,0.10279931261490038,0.12137217466076616,0.1345697008976842,0.2961997234682599,0.1396892561140518,1.433784534564986,2.0324677120957952,3.2783251231527095
160,203,0.8412549404027645,0.4920954436704481,0.6930826603154373,0.10966978044658358,0.12598932434213803,0.17917101889894524,0.3055757783943779,0.12084903832071973,1.169037995168647,1.8960855412066733,4.24384236453202
161,203,0.81924270910159,0.5717439427155687,0.6906912951993407,0.11433867661552378,0.12506769061571918,0.18868853875015695,0.2877265008955094,0.10342130222468086,0.9653238523086107,1.7210806535104672,4.657635467980295
162,203,0.7784510415697149,0.5003050422363186,0.6990306239309545,0.10321528982528311,0.12136708397232977,0.1622793669611792,0.2805105512695148,0.11107874954140808,1.135012981965936,1.8232993761491805,4.753694581280788
163,203,0.8132354549648544,0.559257873076813,0.8768385540718509,0.16206841405834113,0.1302588192576416,0.13653624639482118,0.26666644461523326,0.11770553063881718,0.759762634685807,1.35594541937914,1.438423645320197
164,203,0.8274463130650777,0.6276436365052244,0.8426118498937455,0.1605250967881639,0.13535576148119247,0.16191140045036806,0.2628766006932232,0.10677745365212979,0.6945202657064165,1.2892730593256843,1.8201970443349753
165,203,0.7713078495422239,0.33389745857416164,0.8209250349009772,0.10888867755159999,0.10466546032700207,0.123814748954591,0.28834472732841104,0.14559423538061989,1.3860064841730857,2.081845425878675,1.5591133004926108
166,203,0.8158651389930639,0.6674290535849976,0.8573987607366345,0.17984153004108175,0.13081597133622516,0.16098542466783847,0.24278254441345784,0.1014396685344606,0.5835935046647962,1.1335945219983643,1.5788177339901477
167,203,0.8436036341986138,0.5143247258510577,0.8356766883946426,0.15133876723930914,0.13049493029634257,0.1475558387776319,0.2871496488981633,0.1270644489871669,0.8785824923848797,1.5184504181574134,1.7955665024630543
168,203,0.6985621475246906,0.22519307205672084,0.7740856758904561,0.09185227196114912,0.08601918506040424,0.09757550310950003,0.2755396591518033,0.14757552824183395,1.6593358252179171,2.419199953764657,1.1798029556650247
169,203,0.726230614607024,0.33052005697850945,0.776630496972141,0.12850288811798902,0.09122268320624577,0.1074543573585172,0.26147577043358583,0.1375749154906862,1.124469085768631,1.8650647681520884,1.1428571428571428
170,203,0.7965320653569988,0.3044516195403996,0.67963693915177,0.1167118569977339,0.09661504855359289,0.13717168533438853,0.29256458572673427,0.15346888874454934,1.3848802095417974,2.162625626215031,2.1182266009852215
171,203,0.8162301071582514,0.29708532951396394,0.6712078761436979,0.11555494430525558,0.09763348676026291,0.14083343456610048,0.3034832432852047,0.1587249982414279,1.44059820022031,2.2391182243341814,2.3620689655172415
172,203,0.5985127886677776,0.09176703217866732,0.5410113875243406,0.05917889854374195,0.0646416061535421,0.08271013308590804,0.24913963536960884,0.1428425155149767,2.4827833488795634,3.2274659781641613,2.4679802955665027
173,203,0.8199453240355109,0.23503728484698774,0.7789099465137149,0.11231811551774076,0.09959537582803979,0.1192620826273659,0.31687791095869583,0.17189183910366848,1.561374652087278,2.328043954816384,1.1748768472906403
174,203,0.6023210370771979,0.15991248471281966,0.6564533882694632,0.06439668908063272,0.06972407919796686,0.08826175554047319,0.24458563888896462,0.13535287436916044,2.1267319720690656,2.8566304222414054,1.977832512315271
175,203,0.7641246408875318,0.20961842769540115,0.6582076635050544,0.0855339064073468,0.0890730348655883,0.12372884777479103,0.3036430366393082,0.16214581520049745,1.9652840899814061,2.7256735422591967,3.3645320197044337
176,203,0.8198732855928805,0.3336252785787173,0.7276928996713253,0.12151824580847745,0.10148212873572401,0.14772276279029964,0.2966847098958794,0.1524654383624998,1.2850188047148716,2.042581683862257,2.12807881773399
177,203,0.7801869520373347,0.1912052354325405,0.7009688958995909,0.08611769283541801,0.09440861029619434,0.11749662204216671,0.31202578746265075,0.1701382394009048,2.018526548607054,2.7125624400694077,2.3399014778325125
178,203,0.8328319133769607,0.3986618358084199,0.6729267065122884,0.10939903252783326,0.10503191752256723,0.18098100044900797,0.29708604433652924,0.14033391854102298,1.331316695323007,2.093080061367093,4.689655172413793
179,203,0.7448250120820293,0.2449888117858172,0.6837571547042269,0.08449987937876395,0.08893264356096252,0.12726125177598321,0.2922221775169405,0.15190905984937922,1.851787828768417,2.6060068381662407,3.8275862068965516
180,203,0.7616245345537678,0.26406737922042495,0.6658698776534003,0.1320092827240751,0.09002492575701894,0.10103484458872213,0.2851542145847438,0.153401266899208,1.2656104992876285,2.062137885775939,1.0689655172413792
181,203,0.8324916971209483,0.31252708453772016,0.7575076210723423,0.12003698028700546,0.1034194713939826,0.14247716821136888,0.3076350045589336,0.15892307266965772,1.3486538194325217,2.1091029382644915,1.916256157635468
182,203,0.8502899019862715,0.5030603279228997,0.6891853180023702,0.12415803228010776,0.10906283936160804,0.20876885618881902,0.2854251221319855,0.12287505202375111,1.0224709482178733,1.791195772090215,4.891625615763547
183,203,0.8133338997138485,0.48204692890587536,0.739626564277235,0.13293909325001296,0.10835360812895085,0.17473516177028858,0.27215510960190803,0.12515092696268817,0.9736914410083909,1.684388234466061,3.0566502463054186
184,203,0.7428541534825097,0.2368027829449755,0.6911286783827132,0.0825070979908317,0.0920428440196937,0.1230020130038681,0.2917102624687506,0.15359193599936577,1.9097164524809738,2.6093349259335423,3.3891625615763545
185,203,0.7142551146995234,0.4308468133584628,0.6643142115047039,0.0889865307951193,0.09018201488861322,0.164810447482009,0.25689233477208834,0.11338378676169357,1.3292793551120055,2.1236925166469733,5.5911330049261085
186,203,0.8197530089813639,0.5386767297832311,0.6074300608674316,0.10011425865688786,0.10168731993936948,0.23127003779184743,0.28025041466510586,0.10643097792815336,1.1186848051866805,1.9836712996771535,7.083743842364532
187,203,0.8490009292545398,0.6355000002482678,0.637626469501561,0.12053687841510316,0.10808804450516939,0.2581725472060607,0.26737424444102914,0.09482921468717735,0.8257313127462274,1.6391230619096608,6.352216748768473
188,203,0.8301567081009064,0.4345085177707286,0.6772100104787621,0.10590991442677543,0.10868059748640167,0.18472942261984024,0.29890758397290274,0.1319291895949863,1.3019660693235826,2.0763214273331316,5.330049261083744
189,203,0.757423236916058,0.37599089542327413,0.694030197675737,0.09582020527946966,0.09876248645838258,0.15420773374684305,0.2772090130824734,0.13142379834888926,1.4229456357628463,2.1574168547365535,4.532019704433497
190,203,0.7488604880800614,0.48778548580197617,0.6444911910388641,0.09496829746607051,0.09507929747488003,0.18924699799879777,0.26125827840249854,0.10830761673781451,1.1976520557562877,2.012814558147618,6.307881773399015
191,203,0.7839514892825027,0.19465931595416766,0.6994542410112522,0.09667685462496539,0.09220806705608982,0.11490845805944792,0.310344548652128,0.16981356088987143,1.7972778450421671,2.5786221532554756,1.477832512315271
192,203,0.8772312066382476,0.5686735225792012,0.6151955132494601,0.11313641742452833,0.10959784480541246,0.255345942167544,0.28989980233079654,0.10925119990996633,1.0158800366949132,1.8565022130560804,6.657635467980295
193,203,0.8203794590395898,0.5765603977384337,0.6648770622964806,0.11390864381937064,0.1107574698744382,0.21757617772018845,0.2737679217946975,0.10436924583089481,0.9696165970767061,1.7516292520837127,5.879310344827586
194,203,0.7586958855695242,0.3583748169932281,0.7565706626223865,0.1117723938311063,0.09960528674767895,0.13508549677425258,0.2744783641559547,0.13775434406053158,1.263947228022495,1.9858597238446352,2.2019704433497536
195,203,0.8096128243214583,0.2132946275420228,0.6080204347103667,0.10288179240378172,0.09202334082706956,0.128793473728926,0.31478837743960975,0.17112583992207142,1.7319264643874053,2.5626743666269713,2.1625615763546797
196,203,0.7856686438728715,0.13014952521312204,0.5526728405311895,0.08405420924853658,0.08698276702998822,0.11383932833290901,0.3194516439857234,0.18134069527571414,2.2098806403022517,2.9746691364296054,2.2955665024630543
197,203,0.8038948689512111,0.31041556859974034,0.7852021334778478,0.14052379194033285,0.10113775927515181,0.11397798067533765,0.2917848337563786,0.1564705033040101,1.1524441854284158,1.885506571666341,1.103448275862069
