parcel,x,y,z,tau_fmri,spectral_exp,alff,falff,rho_fmri,coverage,n_subjects
153,-52.756380510440835,6.19025522041764,-11.554524361948957,3.8653619350841266,-0.8359680350014765,3.3831945878973433,0.8897450985836919,0.5720573661669097,1.0,200
154,-60.62015503875969,-34.70930232558139,-3.1744186046511658,4.225143373696324,-1.1390359575663542,3.4760039380402143,0.9219030677159225,0.5602309601424816,1.0,200
155,-52.42677824267781,-22.56903765690376,-5.205020920502093,4.0816332628830105,-1.0197843609128077,3.452896086566472,0.9075887732456914,0.5668694619538172,1.0,200
156,-60.51982378854626,-12.572687224669608,-2.7136563876651962,3.8945979079828885,-0.8354804796185291,3.36354824535075,0.8881374496899924,0.5737539654140381,1.0,200
157,-61.712500000000006,-31.912499999999994,4.956249999999997,3.8622144053409557,-0.8765240000722133,3.390437369543307,0.8923755492412336,0.5725028800043946,1.0,200
158,-52.642570281124506,-42.979919678714865,5.100401606425706,3.3660403745327687,-0.532933263945443,3.331952679543308,0.8604701306102914,0.5876626732833816,1.0,200
159,-58.535433070866134,-48.95275590551181,16.212598425196845,3.573169436405305,-0.702202729105486,3.3393572180305116,0.8753333418677383,0.580621896354099,1.0,200
160,-45.74917491749176,-58.97029702970298,21.06270627062706,2.9170113488504708,-0.21334911409711768,3.2895984087331045,0.8296117355955989,0.6006117847843161,1.0,200
161,-40.36923076923077,-78.54945054945054,30.22417582417583,3.1300281481527366,-0.4060850062478679,3.312309964455816,0.8489204209769394,0.5936357644490656,0.99,200
162,-47.348017621145374,-63.559471365638764,31.308370044052865,2.9901614581367424,-0.29076396234770624,3.339003497197625,0.8383707836627278,0.5971386260029339,1.0,200
163,-56.54691689008044,-54.56300268096514,29.66756032171581,2.9158516990566676,-0.253960489028292,3.33689169558831,0.8376953606531591,0.598647310675622,1.0,200
164,-41.36017897091722,-72.02237136465325,43.32885906040268,2.9766678909412634,-0.26143017704705757,3.3003253871424603,0.8315403085721221,0.5996025039129934,0.92,200
165,-48.94078947368422,-59.53289473684211,46.940789473684205,3.817238221720634,-0.7838283605675621,3.353090588995776,0.8877369121822952,0.5803357107332109,0.96,200
166,-35.63895486935867,22.308788598574836,-15.486935866983373,3.587960435833159,-0.6488185567093252,3.3601575687064194,0.8750204109123398,0.5846936381848584,0.995,200
167,-35.9047619047619,36.85714285714286,-12.961038961038959,3.958942100200742,-0.9135717213572537,3.412526339919673,0.8947029190148473,0.5746302587729016,0.995,200
168,-4.726775956284158,55.05464480874318,-10.131147540983605,3.5827651016487327,-0.5472857970954883,3.2938362001566537,0.8573630550890542,0.5870314158707244,0.995,200
169,-5.943965517241381,34.91810344827587,-8.762931034482762,4.051988388244393,-0.9413504937418254,3.432594434388578,0.9033025371988955,0.5714374559408911,1.0,200
170,-46.18181818181819,31.55485893416929,-10.263322884012538,4.100544593913127,-1.017076922377035,3.4622904586987078,0.911608119791531,0.5674491549607389,1.0,200
171,-27.99363057324841,58.35668789808918,-0.7261146496815343,4.1104092073804255,-0.985396738758044,3.3992320932164106,0.9039523118162122,0.5682359782405514,1.0,200
172,-47.71428571428572,28.306878306878303,0.48148148148148096,3.9932516046574382,-0.9925437912042016,3.468311718087131,0.908261612701037,0.5687037920179874,1.0,200
173,-6.377952755905511,59.21259842519686,6.472440944881896,4.107165891721011,-0.9148785844314105,3.349917216721808,0.906366563512085,0.5715739316964522,1.0,200
174,-6.131782945736433,44.73255813953489,5.883720930232556,4.448886910724491,-1.1729638768043429,3.383026109994759,0.9196401157336308,0.5571214276605805,1.0,200
