parcel_name,tau,tau_r2,rho,rho_max,x,y,z,network,hierarchy,hemi
7Networks_LH_Vis_27-lh,26.135771906133904,0.8179545590639258,0.5717243823568197,0.9749183742925015,-26.687798578322703,-82.80031935061827,15.38788063226733,Vis,1,lh
7Networks_LH_Vis_28-lh,28.22818911335649,0.8054161504299389,0.5734620468906053,0.9750827197452563,-34.63274027213795,-80.42841307989514,22.230069634075686,Vis,1,lh
7Networks_LH_Vis_29-lh,37.23001161463605,0.7762147620785147,0.5702655923186581,0.9744908064256745,-16.41751432558904,-86.8839057306155,27.487523370531,Vis,1,lh
7Networks_LH_Vis_3-lh,24.64260870094317,0.8465385987482327,0.5774168504982823,0.9761802360564386,-36.526266463901386,-60.60588947258705,-17.273717081128073,Vis,1,lh
7Networks_LH_Vis_30-lh,33.34086131873942,0.755379780304204,0.5675911824062397,0.9739569134165165,-14.746121890504906,-79.86642779875906,32.15782284290749,Vis,1,lh
7Networks_LH_Vis_31-lh,27.489802234915995,0.7974959631390035,0.5678943841335065,0.9739474981345221,-20.01418758172003,-76.33999278241734,37.465512380589665,Vis,1,lh
7Networks_LH_Vis_4-lh,22.903604055364898,0.8632049949452159,0.5726786591118246,0.9753825558247329,-27.57475596495825,-54.584220985868086,-8.114055094230382,Vis,1,lh
7Networks_LH_Vis_5-lh,24.827795452257174,0.8058588929908894,0.5814074715206147,0.9764978235650132,-25.56491407752037,-73.3112882822752,-8.489302766819796,Vis,1,lh
7Networks_LH_Vis_6-lh,18.25586419316197,0.8232598411168501,0.5873684641402693,0.9773594806294998,-34.30064677746153,-80.52331850614766,-14.17281625392309,Vis,1,lh
7Networks_LH_Vis_7-lh,22.50304515687649,0.9114118543104622,0.570643134991577,0.9749742621340494,-20.176316531498337,-37.70958519272493,-11.064053638063518,Vis,1,lh
7Networks_LH_Vis_8-lh,16.978184225374033,0.859909918929106,0.5841495197294442,0.9770820989216843,-42.100306866736375,-69.0706103979004,-8.622319709699587,Vis,1,lh
7Networks_LH_Vis_9-lh,27.275303820509844,0.7901740306639465,0.5872001442841462,0.9772599607959179,-17.83488857537726,-87.88344799328111,-10.33359184993986,Vis,1,lh
7Networks_RH_Cont_Cing_1-rh,22.173322835847912,0.9038346006573932,0.56831221257318,0.9740538250347842,6.654393975197043,-25.27282804182572,29.487439656130427,Cont,4,rh
7Networks_RH_Cont_Cing_2-rh,24.521873469282262,0.9171013743227584,0.567870098967037,0.9739422165175697,5.7514592502907895,-0.3812984456947982,31.393431851067728,Cont,4,rh
7Networks_RH_Cont_PFCl_1-rh,47.19228105588699,0.8936461473422331,0.5775229435990936,0.9754756941426401,26.81849762657875,50.82022706729573,-10.892299220384377,Cont,4,rh
7Networks_RH_Cont_PFCl_10-rh,19.52344820188742,0.9042203839027091,0.5692539482873386,0.9736475220459208,34.84737877644299,11.497757851020571,31.040315393965212,Cont,4,rh
7Networks_RH_Cont_PFCl_11-rh,20.534318893788807,0.879362053310675,0.5734295433952599,0.974652913046214,36.22321508648596,28.96480358960829,35.08867203464803,Cont,4,rh
7Networks_RH_Cont_PFCl_12-rh,17.823739476788216,0.891378652970753,0.5716635077282826,0.9742811022043147,39.28717842423602,19.82195463864819,39.21965182219681,Cont,4,rh
7Networks_RH_Cont_PFCl_13-rh,21.297906931990948,0.8958238754403283,0.5720726346026381,0.9745229750190176,39.220301392634354,6.920277563888463,45.77582914198461,Cont,4,rh
7Networks_RH_Cont_PFCl_14-rh,17.702574902101244,0.9056507532836139,0.5715270658840423,0.9744973795418868,34.34455298663837,14.824635781087276,49.87405172713828,Cont,4,rh
7Networks_RH_Cont_PFCl_15-rh,18.15649200196492,0.9162504797486126,0.5696875903264934,0.9742523107153813,23.2498791468733,7.885743201478856,52.17263919039572,Cont,4,rh
7Networks_RH_Cont_PFCl_2-rh,38.32730598974186,0.8586639242421815,0.5802266378444283,0.9756793497507081,40.31157045378157,46.15447655265783,-3.896793746512927,Cont,4,rh
7Networks_RH_Cont_PFCl_3-rh,37.50397077948874,0.8776780706685301,0.5773590825703646,0.9753819556767337,27.173046654958444,52.16833528448407,3.0893337250136432,Cont,4,rh
7Networks_RH_Cont_PFCl_4-rh,30.24546719364037,0.8717130388449656,0.577997819724325,0.9753324838948643,44.72097128602443,34.91447347350814,4.602054365440727,Cont,4,rh
7Networks_RH_Cont_PFCl_5-rh,28.079281644196275,0.8653973598826131,0.5759180796634794,0.9749120148495085,38.500592519160534,40.92467474199774,14.764885139336364,Cont,4,rh
