band,parcel_idx,parcel_name,tau_mean,tau_median,tau_std,tau_count,rho_mean,rho_median,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean
betahigh,102,rh.17Networks_7-7,0.20465967797705958,0.20405940043096377,0.012811583134756967,267,0.6489699759334242,0.6494129096528422,0.030083762979607104,0.8236535863439144,0.9996821717048492,1.0
betahigh,103,rh.17Networks_7-5,0.20316316822906696,0.20239088775021524,0.012191679779080276,267,0.6486522572441802,0.6504044808507988,0.028151080738055896,0.8568364958851559,0.9996580976425126,1.0
betahigh,104,rh.17Networks_7-2,0.192698465712309,0.19121132285116754,0.011825152625325066,267,0.643533141720607,0.6431879572197504,0.015176881060878215,0.9232736581625032,0.9995270643129103,1.0
betahigh,105,rh.17Networks_14-1,0.19874075017716042,0.1983908480479626,0.011944215012273822,267,0.6488339364619137,0.6473264985965401,0.015622975789703945,0.8989302602358615,0.9996043922925056,1.0
betahigh,106,rh.17Networks_14-4,0.1877772067588,0.18579462100331395,0.010782198624044469,267,0.6414701882727722,0.6419578171562259,0.016125832258198095,0.9274602161567094,0.9994565307594577,1.0
betalow,0,lh.17Networks_2-1,0.21532305290048145,0.21516024524315197,0.011231738128745256,267,0.5912686337192848,0.6002920963341448,0.03450203172277314,0.6092193411129696,0.9994595071564901,1.0
betalow,1,lh.17Networks_16-1,0.21534552688675593,0.21520796278660245,0.012054125229093266,267,0.5989924405010429,0.6040886681633657,0.026744615201275204,0.4791092956860135,0.9993995286954074,1.0
betalow,2,lh.17Networks_16-3,0.20492552359841998,0.20493501958945004,0.015367810883804331,267,0.6212957492316085,0.6225920950559213,0.011094663560296234,0.7575608047899922,0.9992556299132558,1.0
betalow,3,lh.17Networks_16-5,0.21337621684815297,0.21253689986183763,0.010668319306233283,267,0.6035523897208203,0.6044880439160107,0.019441093884413896,0.7178883155869981,0.999480632036179,1.0
betalow,4,lh.17Networks_16-7,0.20954810364023577,0.21041150796570973,0.01439139336395783,267,0.6199196901945255,0.621167539373012,0.011263995423788309,0.6852681944451494,0.9994237453844529,1.0
betalow,5,lh.FreeSurfer_Defined_Medial_Wall-1,0.20739383210275175,0.20577069680494064,0.012450649813782168,267,0.6111577194379482,0.6125430401783246,0.011952343540466105,0.7691682706806405,0.9992265970872876,1.0
betalow,6,lh.FreeSurfer_Defined_Medial_Wall-3,0.20272366518103888,0.2008604514684178,0.013709935846052231,267,0.6168382151782952,0.6182106231080166,0.011412044400879414,0.8287426539952732,0.999143374120684,1.0
betalow,7,lh.17Networks_6-2,0.2234116968864406,0.22208556781744043,0.011665274541668194,267,0.597029892249071,0.6045322126171769,0.03772205526183572,-0.603565053910149,0.9996180447237701,1.0
betalow,8,lh.17Networks_6-3,0.21738768418555948,0.2170361443293912,0.012795403639954099,267,0.6114026383038313,0.6159569640409643,0.027334099255209236,0.1713946980148877,0.9995336921273116,1.0
betalow,9,lh.17Networks_6-7,0.20937582213147482,0.20856062252940044,0.010903750917426914,267,0.6028252341072,0.605612718362146,0.018822829481688043,0.8065778363892211,0.9993256860823281,1.0
betalow,10,lh.17Networks_6-6,0.21324113549095616,0.21246256474483616,0.013712544528758896,267,0.6160315557931046,0.6168426447713855,0.01583340429891833,0.42771354150698915,0.9994605652303304,1.0
betalow,11,lh.17Networks_12-11,0.2091177374960454,0.20847118293101244,0.013632136442493004,267,0.6186478653964383,0.6207563667718128,0.013875291085741598,0.6879392534769266,0.9993775818968439,1.0
betalow,12,lh.17Networks_12-12,0.20997244199006784,0.20860766175169962,0.012923203945037185,267,0.6156159475787681,0.6173492489354159,0.016295019791814896,0.6636951290545551,0.9993312422959353,1.0
betalow,13,lh.17Networks_12-7,0.21267697963999654,0.21212961623276433,0.01325625045296744,267,0.6175529362900933,0.6195802688444951,0.016324283514147886,0.5516214957337705,0.9994816941225017,1.0
betalow,14,lh.17Networks_12-3,0.2185743804180964,0.21734139770457758,0.011038494548944636,267,0.5993820661709205,0.6047574846986725,0.0297154616190063,0.26875045789863544,0.9995443287122974,1.0
betalow,15,lh.17Networks_12-1,0.21345235157590145,0.2139422010527195,0.013827167761100635,267,0.6184697740856099,0.620002325880033,0.011631203914054132,0.4262009962599624,0.9994921178691584,1.0
betalow,16,lh.17Networks_12-5,0.20903074844265285,0.20861590813484931,0.011265563569323284,267,0.6054715074925242,0.6056749440632949,0.012700532158233092,0.796525656627203,0.9993072282179525,1.0
betalow,17,lh.17Networks_10-1,0.20277902865698924,0.20225537209577749,0.015306334566347982,267,0.6204146884673297,0.622286842186433,0.011148931130210874,0.7840256715574038,0.9991775176278197,1.0
betalow,18,lh.17Networks_5-2,0.21985366834070913,0.2195443767134916,0.011459991575887323,267,0.5974753068066776,0.6006299342088534,0.025958819556164834,0.2301956625759555,0.9995748823169339,1.0
betalow,19,lh.17Networks_13-4,0.21616827831173446,0.21445589731713438,0.01093765386571081,267,0.6010404170824922,0.6051228353321433,0.026503305890187883,0.509612012335455,0.9995259252836969,1.0
betalow,20,lh.17Networks_13-5,0.20323643079828724,0.20218529207494074,0.015036572187037744,267,0.6221205688986925,0.6240970172719891,0.010600816340959891,0.8028839129681314,0.9992391401327925,1.0
betalow,21,lh.17Networks_13-8,0.20854241155618303,0.20749647207056732,0.011539034180051547,267,0.6072478094537022,0.6073184783597807,0.012721072088508692,0.7942342440315259,0.9992850623714312,1.0
betalow,22,lh.17Networks_13-10,0.20737864333446368,0.20731091827361467,0.014594043980103085,267,0.6194863915012919,0.6221517090336339,0.011347687298281338,0.7309018596666624,0.9993371440623152,1.0
betalow,23,lh.17Networks_13-12,0.21097235808329876,0.21093197671336328,0.013638340811037895,267,0.6186264410204187,0.6202885355921808,0.014531277645065295,0.6280667040794226,0.9994517037581285,1.0
betalow,24,lh.17Networks_13-7,0.21111654220864245,0.2124849698046159,0.013987713737274744,267,0.6198573908899182,0.6207711142746654,0.011794628226679617,0.596392226562717,0.9994721298311124,1.0
betalow,25,lh.17Networks_13-11,0.2126720489639022,0.2133305593015281,0.013310235318721938,267,0.6182531463172667,0.6199798804651635,0.014694057575729176,0.5553837126286211,0.9994953200959885,1.0
betalow,26,lh.17Networks_17-2,0.21271854794254344,0.21339343315759016,0.014562700395029216,267,0.61951280623061,0.6213434898923069,0.01162210792449349,0.5125081715651739,0.9994712212400985,1.0
betalow,27,lh.17Networks_17-5,0.21322152769024633,0.21278452681024299,0.010691122028466636,267,0.6054634868397178,0.6060160590269004,0.0172708359710687,0.7039649175041177,0.9994504697373143,1.0
