resolution,parcel_idx,rho,r2,label,hemi,network,x,y,z,PVALB,SST,VIP,GAD1,GAD2,PV_minus_SST
400,300,0.6074807100405278,0.9998989884015392,7Networks_RH_Limbic_TempPole_3-rh,rh,Limbic,40.75116325458247,11.491265406882215,-37.33728399119926,0.887811393880801,0.5383033653247893,0.6079767238547149,0.7764472446317767,0.5453221540919511,1.1769055926021446
400,301,0.6087884600591263,0.9998823976489558,7Networks_RH_Limbic_TempPole_4-rh,rh,Limbic,39.96872856977906,-18.480383260926203,-28.571150450309965,0.14172905015771609,0.7864717623404568,0.9526718784934695,0.8491695177882628,0.614114052420106,-3.8831128584820216
400,302,0.6082204200083284,0.9998983540169588,7Networks_RH_Limbic_TempPole_5-rh,rh,Limbic,30.64272738968509,8.083568287685285,-28.46018266790584,0.26099788769896903,0.825495949292876,0.3138958807056287,0.5301436069563973,0.3982114523661299,-3.5152951718451626
400,303,0.6111171687895854,0.999873249318056,7Networks_RH_Limbic_TempPole_6-rh,rh,Limbic,47.899293777127525,-32.70247620545858,-26.52756239179969,0.3566860433137151,0.538453291065118,0.5419258298480388,0.5037138911546202,0.407982595420637,-1.4359034858953494
400,304,0.6042578790992769,0.9998975575006834,7Networks_RH_Limbic_TempPole_7-rh,rh,Limbic,22.43537580966949,-20.49568425392618,-25.147459710130885,0.3492945700149135,0.8299141689318486,0.6693944566732131,0.5937262318104635,0.6094230870611135,-3.1058328927726504
400,305,0.6008352950952048,0.9999136364004876,7Networks_RH_SalVentAttn_FrOperIns_1-rh,rh,SalVentAttn,41.981187423676936,-0.3311610826986136,-14.979981759577306,0.49631721905317316,0.7778897164602911,0.43611335471361895,0.3321473873309996,0.3746268040659946,-2.0912181689787337
400,306,0.6043903164636428,0.999901888538311,7Networks_RH_SalVentAttn_FrOperIns_2-rh,rh,SalVentAttn,40.967557941644,7.767952047509537,-2.0754919730171832,0.34102710121949964,0.8425680206551495,0.8059191487137223,0.6752260056137431,0.6150511878101269,-3.2174129534154368
400,307,0.6041303059575631,0.9998913197192308,7Networks_RH_SalVentAttn_FrOperIns_3-rh,rh,SalVentAttn,41.30119235476932,-13.839918048961742,-4.574036725030558,0.6640309455167526,0.716101590754533,0.8283482941158905,0.7261426385790931,0.7364807629546105,-0.9201254189828556
400,308,0.6059460493600112,0.999893769966928,7Networks_RH_SalVentAttn_FrOperIns_4-rh,rh,SalVentAttn,39.12488603397291,0.0287277889723072,6.171664282352644,,,,,,
400,309,0.6023479621735356,0.9999038402226904,7Networks_RH_SalVentAttn_FrOperIns_5-rh,rh,SalVentAttn,36.11202239439376,21.28192997667333,5.602545683507199,0.5511581062384346,0.5886086329879703,0.5013345978967052,0.2813023960027292,0.4133727956658554,-0.7606391883173851
400,310,0.600943152995551,0.9998998950316338,7Networks_RH_SalVentAttn_FrOperIns_6-rh,rh,SalVentAttn,37.42141387129077,4.213974989060351,11.4872019834469,0.6732111081299215,0.6601795955725291,0.48714223682746594,0.6494188645206074,0.7030404657757059,-0.561547668247597
400,311,0.605625375344719,0.9998826788550608,7Networks_RH_SalVentAttn_FrOperIns_7-rh,rh,SalVentAttn,49.48076854091836,2.962070921519501,4.01449540630413,0.5353421274941982,0.6624837532789747,0.3840988521332423,0.3412271157006504,0.45586979616793694,-1.252474218332222
400,312,0.6041140097005882,0.999884814659363,7Networks_RH_SalVentAttn_FrOperIns_8-rh,rh,SalVentAttn,52.82435532654224,10.208086172739664,13.132418039148408,0.7660968594962689,0.5155816726709758,0.5593476986853781,0.49557830821978965,0.40749062305372297,0.7056882532436579
400,313,0.5970907735001204,0.9999241972484836,7Networks_RH_SalVentAttn_Med_1-rh,rh,SalVentAttn,7.585728896351961,16.395244640006116,36.34647055067254,,,,,,
400,314,0.5959693620347871,0.9999297639928102,7Networks_RH_SalVentAttn_Med_2-rh,rh,SalVentAttn,7.356912833743144,0.2745236418781872,43.25901147537145,,,,,,
400,315,0.601561753952214,0.9998914143964625,7Networks_RH_SalVentAttn_Med_3-rh,rh,SalVentAttn,12.931206527275124,-32.72201663002449,41.92644299917271,0.6585081338764507,0.37931258389717437,0.6373882650902166,0.27864234074504174,0.4375049882120751,0.9403491528419703
400,316,0.6005615331699021,0.9999001381995192,7Networks_RH_SalVentAttn_Med_4-rh,rh,SalVentAttn,6.036390720934108,9.63839429282192,53.73862471096758,,,,,,
400,317,0.5936347158999596,0.999928582350508,7Networks_RH_SalVentAttn_Med_5-rh,rh,SalVentAttn,12.367558380722496,-43.91977046210052,52.13398835494717,,,,,,
400,318,0.5972081321175033,0.9999070985108351,7Networks_RH_SalVentAttn_Med_6-rh,rh,SalVentAttn,11.300935133474844,-32.3369916845251,47.6872664670591,0.2449206309628707,0.7257889550721239,0.5280415513382942,0.5948822524402814,0.6725397221060094,-3.0355222678659937
400,319,0.6006401896831812,0.999894827628624,7Networks_RH_SalVentAttn_Med_7-rh,rh,SalVentAttn,6.491606072125681,-2.784925786840172,65.25174341290437,0.37593619574546233,0.7596420068082723,0.5167939119486233,0.4501076838841159,0.4079110140810345,-2.5809533413196633
400,320,0.6001141999561089,0.9998972136704024,7Networks_RH_SalVentAttn_Med_8-rh,rh,SalVentAttn,16.81648499379724,5.63756817630571,66.50696219428112,0.45553215708185346,0.6660382739518285,0.7519057967468601,0.613102761389243,0.5826239212426756,-1.6648861434558382
400,321,0.6024948958433768,0.9999009196214924,7Networks_RH_SalVentAttn_PFCl_1-rh,rh,SalVentAttn,32.15586728276433,39.53848211614935,26.49043172801937,0.7340902761624463,0.7036705529899547,0.8809087611904629,0.7008010218708955,0.49851188311712263,-0.5059141063886249
400,322,0.5988126775737447,0.9999055463153456,7Networks_RH_SalVentAttn_PrC_1-rh,rh,SalVentAttn,47.79780671762865,2.261418284220232,39.861866790194846,0.08386776101745028,0.7565951138613051,0.2530891544154975,0.310761787081896,0.2929882648912424,-4.000210556508884
400,323,0.6055288995419177,0.9998809730412,7Networks_RH_SalVentAttn_TempOccPar_1-rh,rh,SalVentAttn,56.839385596949136,-50.53383529395388,8.114580490562524,0.635482067347416,0.7936564533121147,0.7847440749845667,0.7216029491391455,0.6835454712261892,-1.4952025298618603
400,324,0.5991420468654096,0.9999003918145528,7Networks_RH_SalVentAttn_TempOccPar_2-rh,rh,SalVentAttn,48.91662306793791,-42.87915146740702,10.04337062687964,0.07140677686189564,0.7271061907843368,0.3973379493044797,0.3695423748147382,0.33921787402600045,-3.8962117126460623
400,325,0.6043354510850047,0.9998850251918447,7Networks_RH_SalVentAttn_TempOccPar_3-rh,rh,SalVentAttn,58.09814796935924,-44.78331820751239,18.535297371133808,0.3051806280296576,0.6092485564191332,0.5992013808270928,0.6484319985974727,0.5383818634240864,-2.0859900946501475
400,326,0.6020307652881793,0.9998945347776094,7Networks_RH_SalVentAttn_TempOccPar_4-rh,rh,SalVentAttn,54.739830735150505,-34.855605098672584,23.026261487589704,0.24978380745944828,0.8389771243631594,0.5868206927229889,0.3543339279588546,0.3782526781433573,-3.6460030621630466
400,327,0.6024150579777402,0.9998892373657384,7Networks_RH_SalVentAttn_TempOccPar_5-rh,rh,SalVentAttn,57.69827638294981,-26.170714910608453,25.365206347647494,0.192807077958551,0.690167456448754,0.44382026199922286,0.4376506340314042,0.43538930604630144,-3.092155013574962
400,328,0.6035253992863409,0.999887236613132,7Networks_RH_SalVentAttn_TempOccPar_6-rh,rh,SalVentAttn,59.34533298094891,-32.21774297913004,35.75224575922389,0.047301757599515236,0.7395006615883021,0.48533392105313383,0.37942853716505287,0.34502578339055123,-4.0842239167602115
400,329,0.6033386674908193,0.9998882551371968,7Networks_RH_SalVentAttn_TempOccPar_7-rh,rh,SalVentAttn,57.98018251452363,-43.38525100004049,33.54077320859914,0.5162187403944897,0.6711525964211406,0.8143299991449385,0.8027508578648662,0.6451980428997807,-1.3951063529863024
400,330,0.6058102561952392,0.9998895643374608,7Networks_RH_SomMot_1-rh,rh,SomMot,54.16707049868234,-3.1325528045209343,-4.817231903234957,0.09526322340250443,0.7120108974282973,0.49991827127413957,0.4394116958706429,0.5764885841027915,-3.6942843723983945
400,331,0.5946163396695282,0.9999248555799932,7Networks_RH_SomMot_10-rh,rh,SomMot,40.146711502240336,-30.90476738529288,17.142110249696874,,,,,,
400,332,0.6000415954377255,0.9999101836613576,7Networks_RH_SomMot_11-rh,rh,SomMot,49.124778318940926,-14.59144760785478,14.545440470234732,,,,,,
400,333,0.6056541859312995,0.9998841367412692,7Networks_RH_SomMot_12-rh,rh,SomMot,59.36088851699255,-2.1840281121591505,9.89366909256555,0.7088906512898454,0.15399599716437465,0.7482172916018762,0.8312294464173894,0.28249259842204855,2.4509745078179987
400,334,0.5983911095792317,0.9999105676569876,7Networks_RH_SomMot_13-rh,rh,SomMot,47.57107659748623,-25.19497849016773,17.386464291689347,,,,,,
400,335,0.6047862793684675,0.9998836548918963,7Networks_RH_SomMot_14-rh,rh,SomMot,62.31803682872227,-15.638313655342374,16.307944854668207,,,,,,
400,336,0.6039468160921005,0.9998852199698658,7Networks_RH_SomMot_15-rh,rh,SomMot,59.97977982723352,4.343431564284996,31.272222819472805,,,,,,
400,337,0.6010996905252299,0.9998959451993594,7Networks_RH_SomMot_16-rh,rh,SomMot,55.97383255349066,-8.665662223994998,28.3367738426692,0.4060962184785106,0.5429998295597092,0.567157369478567,0.5306192476590751,0.5342924615096672,-1.2183965115739726
400,338,0.6021536944460495,0.999891066981994,7Networks_RH_SomMot_17-rh,rh,SomMot,58.6717884288666,-19.05908757287103,32.782994581967664,0.5352257225908014,0.5764350088701113,0.5730676818834363,0.6515308791049426,0.5566304003734969,-0.7707607651407531
400,339,0.5968532153383642,0.9999154532033214,7Networks_RH_SomMot_18-rh,rh,SomMot,47.22718268174391,-10.461100134712,36.27267553714606,0.0653844558370692,0.592486893549132,0.23379814214416603,0.20997733099690202,0.18269704522075464,-3.171314197798816
400,340,0.5992578594435997,0.999905517794423,7Networks_RH_SomMot_19-rh,rh,SomMot,51.366038976571495,-22.07235040114476,40.97237098522675,0.608004433876418,0.6830190194094536,0.7847492648727061,0.716102028525188,0.5911905979833016,-1.010231493401954
400,341,0.6078726545673432,0.9998771353647712,7Networks_RH_SomMot_2-rh,rh,SomMot,62.27627736473283,-24.248087418615007,-1.573212818450381,0.45223948542712317,0.4604227408211847,0.6020120349471876,0.7407336547268198,0.5121335855632468,-0.5286451302843376
400,342,0.595229011214433,0.9999197121765928,7Networks_RH_SomMot_20-rh,rh,SomMot,10.85787755087762,-16.374574887003874,42.29369466047548,0.6577067246235841,0.7314313309799083,0.8225549503120513,0.5535542096125678,0.5972841352755831,-1.0371467901423803
