parcel_idx,label,hemi,x,y,z,rho_mean,rho_std,n_subjects
163,7Networks_LH_SomMot_4-lh,lh,-38.73192432550015,-8.68678628993808,12.735589813597676,0.4147177834938736,0.028570062118799425,1093
164,7Networks_LH_SomMot_5-lh,lh,-36.52532194769103,-26.759153874289897,17.119322231382032,0.4131863302173769,0.02835430064236149,1093
165,7Networks_LH_SomMot_6-lh,lh,-58.85225339873676,-37.719997849821056,14.647466864282077,0.4547549661200341,0.01666762776361179,1093
166,7Networks_LH_SomMot_7-lh,lh,-41.89994005826891,-34.98152779736212,12.694232993023492,0.4498364104870606,0.016321383614112693,1093
167,7Networks_LH_SomMot_8-lh,lh,-47.326613596264544,-14.227169012377164,13.181350216885946,0.447201115540855,0.01663783851018255,1093
168,7Networks_LH_SomMot_9-lh,lh,-60.75959134706309,-4.318530817605345,10.313856801180773,0.46162004709639964,0.013484105181146929,1093
169,7Networks_LH_Vis_1-lh,lh,-31.4309310791405,-41.7305473893453,-23.353852010419683,0.4399111052474525,0.018348392608761095,1093
170,7Networks_LH_Vis_10-lh,lh,-13.831584402089996,-61.93816955272968,-6.925084474659111,0.43220378208120835,0.02251875052789628,1093
171,7Networks_LH_Vis_11-lh,lh,-7.6674930474741,-76.6371835941891,-6.423972532256983,0.44341615179189264,0.019835461220209114,1093
172,7Networks_LH_Vis_12-lh,lh,-24.88535555931016,-96.7344111954627,-12.331187576548398,0.44571192835746043,0.018977528894910913,1093
173,7Networks_LH_Vis_13-lh,lh,-13.33588174859591,-44.53940906480609,-4.765169160052536,0.45359293579534654,0.016798766285361505,1093
174,7Networks_LH_Vis_14-lh,lh,-39.96225601367736,-87.00389323226904,-5.55985734128598,0.43857327837932225,0.02108245006183396,1093
175,7Networks_LH_Vis_15-lh,lh,-10.10872519621048,-97.78456176792218,-3.886825971378868,0.43691523905833884,0.024246661300608686,1093
176,7Networks_LH_Vis_16-lh,lh,-15.482495665705253,-58.09110391465523,0.7895022529339805,0.4517728744479868,0.01656685891191968,1093
177,7Networks_LH_Vis_17-lh,lh,-44.34436879345911,-72.90463907650104,1.5993256595568917,0.42746389057460715,0.02420975039737582,1093
178,7Networks_LH_Vis_18-lh,lh,-7.046712842381116,-88.08057260050357,3.616288670102469,0.4223054209411148,0.02623155499477435,1093
179,7Networks_LH_Vis_19-lh,lh,-26.07193373999697,-94.43096102044936,3.78806229834965,0.43158704253470437,0.02227101349770621,1093
180,7Networks_LH_Vis_2-lh,lh,-31.409458831813836,-35.14854264301093,-18.22494495228168,0.44030683483353555,0.018907214203171867,1093
181,7Networks_LH_Vis_20-lh,lh,-13.2440716159587,-51.69824464759048,2.876118942084057,0.4221661546090898,0.026823744079965343,1093
182,7Networks_LH_Vis_21-lh,lh,-9.856477479710986,-75.67654549863917,7.829021696911358,0.4319202559717502,0.021328101401597906,1093
183,7Networks_LH_Vis_22-lh,lh,-21.03412999840422,-66.21519638146768,5.735785520143349,0.4387044102091731,0.019358030723080708,1093
184,7Networks_LH_Vis_23-lh,lh,-38.88945099783496,-83.35966367350517,10.044632151487876,0.43219380537014396,0.020002869075120066,1093
185,7Networks_LH_Vis_24-lh,lh,-14.192239268374,-97.16284925567436,15.415261314818578,0.43569061222507466,0.02059712934124871,1093
186,7Networks_LH_Vis_25-lh,lh,-3.968079407498219,-84.70897804445805,23.46371066894313,0.4427350333324122,0.01753059249041801,1093
187,7Networks_LH_Vis_26-lh,lh,-13.974083823852643,-70.9343149771445,19.449905606403803,0.4313387993472889,0.022137584496490847,1093
188,7Networks_LH_Vis_27-lh,lh,-27.42744734250926,-83.66948806387039,16.621921721544524,0.4385133377611891,0.01766703540645337,1093
189,7Networks_LH_Vis_28-lh,lh,-33.7867070651843,-82.53938262395883,23.04350547693461,0.47282984067834904,0.013288299177771667,1093
