parcel_idx,label,hemi,x,y,z,rho_mean,rho_std,coverage,n_subjects
89,7Networks_LH_DorsAttn_Post_4-lh,lh,-46.47895984177876,-67.84704178719133,11.128987582749277,0.14242973238509035,0.039838943731771714,1.0,1096
90,7Networks_LH_DorsAttn_Post_5-lh,lh,-26.4475365004726,-69.29530358625301,27.301863451909757,0.14261963217114154,0.03898870723290137,1.0,1096
91,7Networks_LH_DorsAttn_Post_6-lh,lh,-50.50214662977085,-33.157821261654995,40.64988930574648,0.14450345499122566,0.039452223671326794,1.0,1096
92,7Networks_LH_DorsAttn_Post_7-lh,lh,-23.56977437251323,-64.05671753754487,42.030502046121136,0.14254666249743875,0.0385801681065525,1.0,1096
93,7Networks_LH_DorsAttn_Post_8-lh,lh,-41.80453570444181,-31.00647144860758,38.730709529601945,0.14300376432569706,0.03921471468892395,1.0,1096
94,7Networks_LH_DorsAttn_Post_9-lh,lh,-33.93362460633502,-47.70593910757332,38.35676895789658,0.13805515328733658,0.03781609209441889,1.0,1096
95,7Networks_LH_DorsAttn_PrCv_1-lh,lh,-47.97324231275872,6.2063375440996085,24.471581162030425,0.14422023744057727,0.03913566792679542,1.0,1096
96,7Networks_LH_DorsAttn_PrCv_2-lh,lh,-49.70606513484832,0.9781463359288248,36.64115305562173,0.1485277035735771,0.04055344893177225,1.0,1096
97,7Networks_LH_Limbic_OFC_1-lh,lh,-13.292980548075713,21.18468537236926,-21.08755740952804,0.14688852489377108,0.0413706207154927,1.0,1096
98,7Networks_LH_Limbic_OFC_2-lh,lh,-23.89638536037197,21.985710938771565,-20.290748986126232,0.14883303724024963,0.03935247398872128,1.0,1096
99,7Networks_LH_Limbic_OFC_3-lh,lh,-10.873434260217609,43.48105623411096,-23.46935508130253,0.14871810061724716,0.03977916033920664,1.0,1096
100,7Networks_LH_Limbic_OFC_4-lh,lh,-3.754660211937337,20.102923882762088,-18.793292442756364,0.14760288167913949,0.03906390605588215,1.0,1096
101,7Networks_LH_Limbic_OFC_5-lh,lh,-16.13442856102314,62.18571597164117,-7.906560958747399,0.1489613755303066,0.03953700978181685,1.0,1096
102,7Networks_LH_Limbic_TempPole_1-lh,lh,-39.70239196528656,-7.127084286019371,-41.0033975718879,0.1442520456067131,0.039200234282349235,1.0,1096
103,7Networks_LH_Limbic_TempPole_2-lh,lh,-26.86821711989882,4.227945093631065,-38.74394536141904,0.14499482089861293,0.039451368773886344,1.0,1096
104,7Networks_LH_Limbic_TempPole_3-lh,lh,-26.731302960713705,-10.89095298608144,-33.499243920644126,0.1401498270146185,0.03915764782068518,1.0,1096
105,7Networks_LH_Limbic_TempPole_4-lh,lh,-51.7472156144016,-24.36365758002192,-32.80556341572594,0.14216756468821148,0.03847575035921303,1.0,1096
106,7Networks_LH_Limbic_TempPole_5-lh,lh,-40.06220527048464,-23.021770585466317,-26.49928586129789,0.14731780496423588,0.03946140024081509,1.0,1096
107,7Networks_LH_Limbic_TempPole_6-lh,lh,-47.4509777497353,8.622316963813343,-30.74130548409761,0.14698527876455503,0.03970722627214071,1.0,1096
108,7Networks_LH_Limbic_TempPole_7-lh,lh,-33.55322896501292,7.815340258841119,-26.289559712617294,0.1456682060455502,0.03862050830143616,1.0,1096
109,7Networks_LH_Limbic_TempPole_8-lh,lh,-20.833664374048976,-22.47760446266105,-25.046339268410676,0.14407190124192407,0.04035658349313466,1.0,1096
110,7Networks_LH_SalVentAttn_FrOperIns_1-lh,lh,-44.27507714153524,-1.9691270553615543,-15.561208579821743,0.14657947066592067,0.03918196951410133,1.0,1096
111,7Networks_LH_SalVentAttn_FrOperIns_2-lh,lh,-39.97043976865537,0.595864837537787,-6.664366941782386,0.14522285595976384,0.039501973474224676,1.0,1096
112,7Networks_LH_SalVentAttn_FrOperIns_3-lh,lh,-32.39046696366935,26.02637937874629,-0.3362175469819842,0.1445915471841567,0.041430229980072834,1.0,1096
113,7Networks_LH_SalVentAttn_FrOperIns_4-lh,lh,-40.23415162386142,-16.420856948315397,-3.941731276541112,0.15479903487084665,0.040948569008347625,1.0,1096
114,7Networks_LH_SalVentAttn_FrOperIns_5-lh,lh,-32.974421531985506,19.40142974371862,7.906767452124393,0.14853623036022784,0.040029847747814186,1.0,1096
115,7Networks_LH_SalVentAttn_FrOperIns_6-lh,lh,-35.928958713498886,4.822265129268403,10.04293815226976,0.1453921884276445,0.04141532006540408,1.0,1096
116,7Networks_LH_SalVentAttn_FrOperIns_7-lh,lh,-44.15241681496928,12.027876529637284,1.954714645833276,0.15217866649523354,0.04167742895126503,1.0,1096
117,7Networks_LH_SalVentAttn_FrOperIns_8-lh,lh,-51.096116187164135,0.163706507318967,3.985929608473668,0.13965714573749446,0.04096247267722034,1.0,1096
118,7Networks_LH_SalVentAttn_FrOperIns_9-lh,lh,-51.86575559607135,8.562580772968525,12.651200385378376,0.14670165350904402,0.04014439204609997,1.0,1096
119,7Networks_LH_SalVentAttn_Med_1-lh,lh,-7.622988210197239,19.573154094349984,32.80045354014207,0.14892721563031655,0.040957672937429815,1.0,1096
120,7Networks_LH_SalVentAttn_Med_2-lh,lh,-6.89563837940768,0.8559452925412733,41.32250199355478,0.15336330383371966,0.040097540425924,1.0,1096
121,7Networks_LH_SalVentAttn_Med_3-lh,lh,-12.766133691386171,-24.88988610920153,41.19620874906841,0.14760669950252983,0.041190213990670715,1.0,1096
122,7Networks_LH_SalVentAttn_Med_4-lh,lh,-7.273161498623826,8.181929967880901,46.825313479857456,0.1505703924679553,0.040427435890833995,1.0,1096
123,7Networks_LH_SalVentAttn_Med_5-lh,lh,-14.46428824674244,-39.05645511824771,45.86814254720214,0.1424266649237707,0.038725740598410746,1.0,1096
