parcel_idx,x,y,z,tau_fmri,spectral_exp,alff,falff,rho_fmri,n_subjects
79,-38.968421052631584,-37.53684210526316,49.77543859649123,5.429924548999858,1.2534276280911198,3.565904790269102,0.9129633552507437,0.5532633122123789,68
80,-35.85645933014354,-51.827751196172244,56.02870813397129,4.986876098140356,0.8469727445148116,3.4098261732545483,0.872887704596524,0.5724888057815365,68
81,-14.918781725888323,-71.13197969543148,57.03553299492387,4.272463272109384,0.33601908934763697,3.3049177913212255,0.8325055153461222,0.5948000679074025,68
82,-28.211538461538467,-61.19230769230769,62.326923076923066,4.308572217109676,0.3557771003695909,3.3320292155434896,0.831699494357642,0.5954645275586279,68
83,-7.393728222996515,-58.46689895470384,63.12891986062718,4.654206582069549,0.6149846191464725,3.393593893767773,0.8577572811157297,0.5814811695451283,68
84,-19.710914454277287,-56.48377581120944,66.2772861356932,4.5585950256531005,0.5512863181266644,3.2922267884492546,0.8450037719871029,0.5859785368714614,68
85,-12.939130434782612,-50.59130434782608,71.58260869565217,4.445280865584529,0.4676657639336918,3.3136455227112505,0.8366802488646903,0.5905651686551826,68
86,-40.33009708737865,-2.3430420711974165,51.26860841423948,5.0890214037083945,0.983020876603104,3.4454928638933335,0.8983489779002392,0.5647712257508383,68
87,-25.723163841807903,-0.47457627118643586,55.158192090395474,4.697475771686838,0.7711592447911282,3.4447490331474144,0.888511734906103,0.5732127787857705,68
88,-30.021390374331546,-8.021390374331546,51.71122994652407,4.845933637394752,0.8946415196829549,3.4749961446229665,0.8875006650844357,0.5712709547570999,68
89,-21.214750542299356,5.149674620390442,64.02169197396964,4.985070251079513,0.8636546029004126,3.4065180851239845,0.8944138864618261,0.5665557278757394,68
90,-49.44736842105263,6.03947368421052,25.618421052631575,5.238307489091471,1.0054919113508292,3.367695912984943,0.8961362250927131,0.5634796174778292,68
91,-49.96981132075473,2.633962264150938,37.97735849056603,5.0964417599913245,0.9880722026945877,3.460580334871551,0.8955282973013583,0.5660549855250576,68
92,-54.63959390862945,-31.974619289340097,22.223350253807112,5.287121332828295,1.1265832896933141,3.443320259606224,0.9075728135334684,0.5594738857744603,68
93,-58.00714285714287,-44.192857142857136,27.307142857142864,4.5056994288505905,0.49125142740360844,3.3856704909203397,0.8566652166118947,0.5860088079112672,68
94,-61.354368932038824,-23.262135922330103,32.76699029126213,5.136356947655853,0.9881628248379545,3.4434060846735886,0.8912547441913754,0.5677641172180875,68
95,-61.16438356164383,-36.07534246575342,33.31506849315069,4.6831308231075255,0.6763583419273738,3.38579691363544,0.8675455428784876,0.5825134052779954,68
96,-56.61325966850828,-53.70718232044199,9.988950276243088,4.501207813771588,0.52076908115874,3.3032680053784063,0.8412627035848886,0.5866910274995631,68
97,-44.17910447761193,5.298507462686558,-16.21641791044776,4.789545827347431,0.7089624626244627,3.380322126953651,0.860698814017298,0.5835688072957054,68
98,-38.73596673596674,1.92515592515592,-4.615384615384613,4.776051386620161,0.7845468477736914,3.4554028947603115,0.8851681909238901,0.5801578682537984,68
99,-32.908212560386474,24.57004830917873,-0.8405797101449224,4.572039233341766,0.6443092257813482,3.3245632727028305,0.8763386703241632,0.584141122486784,68
100,-39.7913043478261,-14.365217391304341,-1.7478260869565219,4.923362074852886,0.857540759683833,3.4477885121518033,0.8847801015012857,0.5709738346277381,68
101,-32.988142292490124,19.162055335968375,8.158102766798422,4.539796049865446,0.6533620451809714,3.3367185150124694,0.8710637074873846,0.582239628233396,68
102,-36.48175182481752,4.394160583941613,10.68613138686132,4.350232899099951,0.47571747026479455,3.391709575610353,0.8733410618309073,0.5887078409992,68
103,-43.34969325153375,11.926380368098165,2.2944785276073674,4.631648020896169,0.6301552683235393,3.3852903803689554,0.8636523968608449,0.5840560814538899,68
104,-50.478764478764475,1.4980694980694977,4.355212355212359,5.0367386690865645,1.0584423901592548,3.5406741504201964,0.9057625447748036,0.56489032761449,68
105,-52.074074074074076,8.666666666666657,13.345679012345684,5.112594892584918,0.9829245009439401,3.4044396575766855,0.890483712272886,0.5660084030700493,68
106,-28.941176470588232,43.30365659777425,29.545310015898252,4.742889878024732,0.7989044181444552,3.4491820458228415,0.8852453823425588,0.5724050956512701,68
107,-5.9537275064267305,21.80462724935734,31.136246786632384,5.356320606382062,0.5916559354129223,3.0542188233718304,0.8720528154372894,0.5759324471671559,68
108,-6.493702770780857,0.8060453400503746,40.54911838790932,4.999162218309162,0.9204113822886787,3.43288989887473,0.9018258081621537,0.56506052576516,68
109,-10.99638989169675,-27.37906137184116,41.12635379061372,5.096476403454982,1.0973825442360312,3.584865494219655,0.9112718728894637,0.5578157601952217,68
110,-5.310704960835508,9.300261096605738,48.38120104438643,5.069268683139808,0.9398329779522395,3.4098983094300066,0.8933071406974404,0.5651531554110802,68
111,-12.57309941520468,-41.45029239766082,47.30994152046783,5.095315607820057,1.0357705874208467,3.4334824050851016,0.9080022531591718,0.559306063328858,68
112,-5.844961240310084,-49.116279069767444,57.01550387596899,5.15332835687446,1.055795261339851,3.3849335427224703,0.8938456848313858,0.5593639322625906,68
113,-8.485436893203882,-2.679611650485441,70.90291262135923,5.292916167719489,1.0320960180826253,3.374753753011314,0.8973989829887724,0.5619398018630314,68
114,-12.370860927152322,24.264900662251648,-20.456953642384107,4.467521744029632,0.3489555835836642,3.2518427392857774,0.8285356286034583,0.5952861718637904,68
115,-23.5645472061657,22.42389210019269,-19.69556840077071,4.602519119082063,0.5308111460492775,3.2609949151583675,0.8511563068029561,0.5886937334610054,68
116,-10.587479935794548,47.32263242375603,-21.335473515248793,4.266799969672063,0.3802605907110095,3.325023502658034,0.8302832816911286,0.5961326049257014,68
117,-3.9061728395061692,23.3432098765432,-18.874074074074073,4.360562259139236,0.4319449875834632,3.3596970427130355,0.8384840891073072,0.5926359126908549,68
118,-15.441758241758237,64.34725274725275,-8.470329670329669,5.076619309796721,0.9254705525881672,3.3888061657169817,0.8788958034583874,0.5722916576664161,68
119,-37.44701986754967,-5.460264900662253,-42.33443708609272,4.65492651985024,0.6733486613023872,3.321587122928132,0.8641576342015223,0.5852655830422708,68
120,-25.1328320802005,5.809523809523796,-38.285714285714285,4.535759334670157,0.541147056273946,3.301770757933776,0.85545477147179,0.5833904209555127,68
121,-25.638036809815958,-8.969325153374228,-32.576687116564415,4.785700269714714,0.7702052261299469,3.4038226784371157,0.872314084105936,0.5764435170948828,68
122,-53.84516129032258,-21.380645161290317,-31.427956989247313,4.639466168350535,0.5831460080594181,3.33731892582499,0.8491158464783976,0.5856867081923154,68
123,-40.101010101010104,-21.848484848484844,-26.575757575757578,5.005977230153135,0.9873335073365763,3.5297179113152293,0.8940306640317502,0.5653551900342888,68
124,-43.29442282749676,12.933852140077818,-33.32555123216602,4.368412235143536,0.4316095643196153,3.317326943739435,0.8344068459568488,0.5936836514991184,68
125,-31.47099767981439,11.494199535962878,-29.415313225058007,4.438319248201788,0.42640410242656157,3.330730372039501,0.8483919398889384,0.5896344997355198,68
126,-21.044334975369452,-20.689655172413794,-25.61576354679803,4.743348350459989,0.6807146321093454,3.4498963674301097,0.8715548995521201,0.5798588967381517,68
127,-28.807272727272732,-74.18909090909091,42.29818181818182,4.181504158697496,0.24897304585846114,3.3188881185626165,0.8235086024119523,0.5979771660238429,68
128,-58.321608040201,-41.59798994974874,45.55778894472361,4.323238681456737,0.35649552126509615,3.3210738474029387,0.8284476929168252,0.5958855496480743,68
129,-53.21794871794873,-49.61538461538461,44.82051282051282,4.363835938128996,0.41224387607046575,3.3851046873096653,0.8388032524775983,0.5924614111715345,68
130,-34.42011834319527,-62.10059171597633,47.88165680473372,4.861200329407906,0.7759921509493805,3.408060739507814,0.8754422416980211,0.5754842563572469,68
131,-42.102564102564116,-52.17948717948718,48.641025641025635,4.946368044727403,0.7724925170325837,3.374993461783108,0.8661153322011693,0.5753136330859518,68
