# Schaefer parcellation centroids in fsaverage surface space
# Coordinate convention: x=ML, y=AP, z=DV (RAS orientation)
# n_parcels=400, n_networks=7
# Limitations: coordinates are surface-based, not MNI volumetric
parcel_idx,label,hemi,network,x,y,z
215,7Networks_RH_Cont_PFCl_8-rh,rh,Cont,26.064619764418236,48.847461401735586,23.250810792745618
216,7Networks_RH_Cont_PFCl_9-rh,rh,Cont,46.76786480805813,27.628406567451282,27.253773429454903
217,7Networks_RH_Cont_PFCmp_1-rh,rh,Cont,8.97032985015802,32.04564013968994,26.07139907392076
218,7Networks_RH_Cont_PFCmp_2-rh,rh,Cont,4.795652627189261,25.6176882696983,46.74457559721595
219,7Networks_RH_Cont_PFCv_1-rh,rh,Cont,34.285116081341734,21.91055755069535,-6.664761837805324
220,7Networks_RH_Cont_Par_1-rh,rh,Cont,51.18898262374702,-56.87642972770779,41.70235615215082
221,7Networks_RH_Cont_Par_2-rh,rh,Cont,52.00346158599854,-46.91642377471924,40.77199843597412
222,7Networks_RH_Cont_Par_3-rh,rh,Cont,32.362512693734004,-67.84252778415022,42.07948364389354
223,7Networks_RH_Cont_Par_4-rh,rh,Cont,49.114118170044506,-38.99513814788865,44.43647093137592
224,7Networks_RH_Cont_Par_5-rh,rh,Cont,42.90274063508902,-48.25392402819733,40.48044496507787
225,7Networks_RH_Cont_Par_6-rh,rh,Cont,38.11645154143165,-57.00652062787152,44.256466554900385
226,7Networks_RH_Cont_Temp_1-rh,rh,Cont,58.97514143091862,-35.62536605738761,-20.495568852651246
227,7Networks_RH_Cont_Temp_2-rh,rh,Cont,60.888164063574564,-47.586759943357656,-10.291781403649022
228,7Networks_RH_Cont_pCun_1-rh,rh,Cont,12.853132706157044,-70.58133080102115,36.26859003133168
229,7Networks_RH_Cont_pCun_2-rh,rh,Cont,5.498088653018245,-62.45582795544751,43.55214358763527
230,7Networks_RH_Default_PFCdPFCm_1-rh,rh,Default,5.588297783452536,37.421044098071235,-9.593708101057
231,7Networks_RH_Default_PFCdPFCm_10-rh,rh,Default,25.31312210389546,31.009443994930812,39.36191293512072
232,7Networks_RH_Default_PFCdPFCm_11-rh,rh,Default,13.267370673931804,37.369562023112465,51.487659948928304
233,7Networks_RH_Default_PFCdPFCm_12-rh,rh,Default,23.762133992209062,20.444972563866443,49.20852863772774
234,7Networks_RH_Default_PFCdPFCm_13-rh,rh,Default,12.232005817172114,18.632650527058868,62.18023994475642
235,7Networks_RH_Default_PFCdPFCm_2-rh,rh,Default,9.803337070420817,64.31052014998356,2.1734403552995487
236,7Networks_RH_Default_PFCdPFCm_3-rh,rh,Default,8.43134450712334,40.728769676632794,5.949203541510663
237,7Networks_RH_Default_PFCdPFCm_4-rh,rh,Default,8.173263098639465,49.435463988704726,14.053490551931263
238,7Networks_RH_Default_PFCdPFCm_5-rh,rh,Default,17.81460848293272,61.53761652827872,17.781020677881713
