parcel_idx,label,hemi,tau_mean,rho_mean,tau_r2_mean,rho_r2_mean,x,y,z,tau_resid,rho_resid
177,7Networks_LH_Vis_17-lh,lh,0.005818978767382667,0.6055415421242311,0.8850352263951697,0.99987341821885,-44.34436879345911,-72.90463907650104,1.5993256595568917,-0.005488060778090508,0.0022496687953432737
178,7Networks_LH_Vis_18-lh,lh,0.00993651283235465,0.6004718986352494,0.791758869875374,0.9998938931747547,-7.046712842381116,-88.08057260050357,3.616288670102469,-0.0005817061987016814,-0.0021595690720815908
179,7Networks_LH_Vis_19-lh,lh,0.006658040876007251,0.603863623432909,0.8727134434483934,0.9998797725178777,-26.07193373999697,-94.43096102044936,3.78806229834965,-0.0031091349375590065,0.0012806885107041754
180,7Networks_LH_Vis_2-lh,lh,0.01804397134126789,0.6063168563155081,0.6337932423583981,0.9998871617837127,-31.40945883181384,-35.14854264301093,-18.22494495228168,0.0021974887719091833,0.00017611406165862764
181,7Networks_LH_Vis_20-lh,lh,0.011605666532858182,0.6041740657804998,0.7679864735033386,0.9998871328690544,-13.2440716159587,-51.69824464759048,2.876118942084057,-0.0016251494389887978,0.0007864727830827478
182,7Networks_LH_Vis_21-lh,lh,0.013176615567979008,0.5986514455231116,0.7235267553547112,0.9999055762655307,-9.856477479710986,-75.67654549863917,7.829021696911358,0.0020852291930115105,-0.0037372897963514617
183,7Networks_LH_Vis_22-lh,lh,0.01425677404103238,0.5992215106609786,0.7437060139940573,0.999903757650155,-21.03412999840422,-66.21519638146768,5.735785520143349,0.0024448220057715804,-0.003620212820816371
184,7Networks_LH_Vis_23-lh,lh,0.006061459824035349,0.6038828028427757,0.8835749129471744,0.9998775083235436,-38.88945099783496,-83.35966367350517,10.044632151487876,-0.0038853547702910416,0.0017528284011562034
185,7Networks_LH_Vis_24-lh,lh,0.009916709672180822,0.5992758022616627,0.8020364657412777,0.9998996264524534,-14.192239268374,-97.16284925567436,15.415261314818578,0.0010841984159248464,-0.0018951895493422022
186,7Networks_LH_Vis_25-lh,lh,0.013047638090692247,0.5960286233918298,0.69032496755393,0.9999137855004628,-3.968079407498219,-84.70897804445805,23.46371066894313,0.0037543104397230014,-0.0044107156352029
187,7Networks_LH_Vis_26-lh,lh,0.01640486941418507,0.5949260561253259,0.6250437894801719,0.9999219588445267,-13.974083823852643,-70.9343149771445,19.449905606403803,0.00590293253157931,-0.00625425547750158
188,7Networks_LH_Vis_27-lh,lh,0.00939882362901248,0.6000482107745959,0.8200729599211253,0.9998990461627477,-27.42744734250926,-83.66948806387039,16.621921721544524,-0.00017702510749940253,-0.0012841615548704333
189,7Networks_LH_Vis_28-lh,lh,0.00910081235412868,0.600224562435479,0.8305517281322857,0.9998936932541398,-33.7867070651843,-82.53938262395883,23.04350547693461,1.8663669680131154e-05,-0.00043153031811882236
190,7Networks_LH_Vis_29-lh,lh,0.011746420239760655,0.5971122270765308,0.7491079114681259,0.9999072286148099,-16.95356636250939,-88.38620781859349,28.612489427839005,0.003301762167456505,-0.002738178447703077
191,7Networks_LH_Vis_3-lh,lh,0.008164949380387436,0.6067146550218961,0.8545346744676028,0.9998768280547403,-36.478565499802265,-61.14527789659736,-20.06013478050547,-0.005794850814764387,0.0008058885602433286
192,7Networks_LH_Vis_30-lh,lh,0.014413339307810132,0.5965301813068258,0.665138924358057,0.9999175082318191,-13.66630835192544,-79.6397770914792,33.57240023299994,0.005645090956664834,-0.002901575922549582
193,7Networks_LH_Vis_31-lh,lh,0.013583957836252509,0.5969036581316898,0.7510539825449051,0.999916755857037,-21.08930028309612,-77.06418851936388,39.01340075258939,0.0051399040343303014,-0.001992724146016922
