parcel_idx,label,hemi,network,tau_mean,tau_median,tau_std,rho_mean,rho_median,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean,ts_rms_mean,n_subjects,x,y,z,alpha_rel,beta_rel,gamma_rel,spectral_slope
97,7Networks_LH_Limbic_OFC_1-lh,lh,Limbic,0.0312827811900594,0.0283092531321482,0.0143721883886205,0.6048871492861013,0.6021294978080585,0.0142684626191583,0.612275756692263,0.9999058531080228,1.0,1.0,208,-13.292980548075713,21.18468537236926,-21.08755740952804,0.11440807167849064,0.30378298884178156,0.1638202319318276,0.5356869164511199
98,7Networks_LH_Limbic_OFC_2-lh,lh,Limbic,0.0351156688096357,0.0311060646933546,0.0183109847361615,0.6032479786320001,0.6031677118103796,0.0070036464173448,0.5990440292110967,0.9999068506965624,1.0,1.0,208,-23.89638536037197,21.985710938771565,-20.290748986126232,0.11047812364677528,0.30079827657261404,0.16508912978907034,0.524213786958494
99,7Networks_LH_Limbic_OFC_3-lh,lh,Limbic,0.0349679949460563,0.0323418211315733,0.0144460620949519,0.6053887230598864,0.6039619881679685,0.0113712866234999,0.5701514097067888,0.999908172082715,1.0,1.0,208,-10.873434260217609,43.48105623411096,-23.46935508130253,0.10361250058663819,0.3003537824187284,0.16541315680408256,0.5207336324879499
100,7Networks_LH_Limbic_OFC_4-lh,lh,Limbic,0.0310564578304232,0.0261224642379839,0.0174264959744552,0.6050667126959672,0.6044355589885044,0.0079073413481082,0.5689970150339391,0.999902903278278,1.0,1.0,208,-3.754660211937337,20.102923882762088,-18.793292442756364,0.11918971305419018,0.33116084637019966,0.17597663123828966,0.4356561198298287
101,7Networks_LH_Limbic_OFC_5-lh,lh,Limbic,0.0186936886464785,0.0164066996359016,0.0114503490101427,0.607663315126909,0.6073009811747538,0.0090938340644164,0.619508823156884,0.9998886690271488,1.0,1.0,208,-16.13442856102314,62.18571597164117,-7.906560958747399,0.12100043935122745,0.36797220968872574,0.20025181837977388,0.3072367935516701
102,7Networks_LH_Limbic_TempPole_1-lh,lh,Limbic,0.0199235058196916,0.0178297503811112,0.0113511506521441,0.6089772158652166,0.6064148173290231,0.01353139267935,0.5876830110837908,0.9998861382576446,1.0,1.0,208,-39.70239196528656,-7.127084286019371,-41.0033975718879,0.12644663943746137,0.3595871470526301,0.19895124192685587,0.3326934892745063
103,7Networks_LH_Limbic_TempPole_2-lh,lh,Limbic,0.0257685551508658,0.0232276889950243,0.0111384200110652,0.6062001650903945,0.6053606036551045,0.0103205323367793,0.5281897990449118,0.9998952560550342,1.0,1.0,208,-26.86821711989882,4.227945093631065,-38.74394536141904,0.12055799873144055,0.3323122568844958,0.1817170391670737,0.4378006850288779
104,7Networks_LH_Limbic_TempPole_3-lh,lh,Limbic,0.0221237538176417,0.0182147087493732,0.0129795535453892,0.6080434663914895,0.605964364456935,0.0144881987626538,0.6012773909990814,0.9998930399661184,1.0,1.0,208,-26.731302960713705,-10.89095298608144,-33.499243920644126,0.13103583975810948,0.3511904155880601,0.1871125271041414,0.37385151785219256
105,7Networks_LH_Limbic_TempPole_4-lh,lh,Limbic,0.0115278719797203,0.0090456863450871,0.0085341229729905,0.6089724176083308,0.6081266628148972,0.0088720710010936,0.7726746844198905,0.9998748701485152,1.0,1.0,208,-51.7472156144016,-24.36365758002192,-32.80556341572594,0.12671574639730646,0.39297063234918367,0.22275040105620836,0.2095255838798435
106,7Networks_LH_Limbic_TempPole_5-lh,lh,Limbic,0.0123168704029805,0.0100272852628915,0.0082731181046159,0.6081306234348207,0.6074812160678633,0.0093018727880229,0.7588559232370131,0.9998789570103838,1.0,1.0,208,-40.06220527048464,-23.02177058546632,-26.49928586129789,0.13238600315682011,0.3876276758050391,0.2156697688739914,0.23338858053185618
