parcel_idx,label,hemi,network,tau_mean,tau_median,tau_std,rho_mean,rho_median,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean,ts_rms_mean,n_subjects,x,y,z
153,7Networks_LH_SomMot_29-lh,lh,SomMot,0.012387674223228708,0.0096526162849751,0.008811993164423033,0.5987669226066328,0.5991686417727426,0.011887248530928233,0.7556514789879208,0.9999097464670009,1.0,1.0,208,-30.132549316611065,-36.48280794796528,60.82360043621704
154,7Networks_LH_SomMot_3-lh,lh,SomMot,0.01678659901561754,0.01571857831925245,0.007059699983707014,0.6001909461659246,0.6006666248621506,0.006049178404290634,0.7594268685593951,0.9999017442212691,1.0,1.0,208,-36.600375378225735,-24.48510210232472,8.472105336007406
155,7Networks_LH_SomMot_30-lh,lh,SomMot,0.012306626288574743,0.01033795869874665,0.008790332182940504,0.599850796607236,0.5980145804200485,0.014008750275612936,0.7911760910895367,0.9999125306903399,1.0,1.0,208,-26.147134152439435,-11.438259468999265,60.13442602888109
156,7Networks_LH_SomMot_31-lh,lh,SomMot,0.010931754365997932,0.0090338118689512,0.008158356203895262,0.5990869132363159,0.599266933656533,0.009792829685554777,0.8127507254237911,0.9999066924676417,1.0,1.0,208,-22.04363322725483,-26.53818640989416,60.84053631202848
157,7Networks_LH_SomMot_32-lh,lh,SomMot,0.011678400216997575,0.009958918187006751,0.00810764029960537,0.5987536044590194,0.5991423598829482,0.01159217299562619,0.7948138093314536,0.999905861091813,1.0,1.0,208,-9.737462859300951,-42.27655872147296,68.4564729499186
158,7Networks_LH_SomMot_33-lh,lh,SomMot,0.011828735479016748,0.0101128026142096,0.0077518145608000445,0.6009649071028005,0.5990685740352617,0.014997095805987884,0.8221799582224883,0.9999130115682396,1.0,1.0,208,-4.5160255521326,-25.76914211897783,67.47828754237
159,7Networks_LH_SomMot_34-lh,lh,SomMot,0.0091556620454118,0.00718450267437915,0.007626095992057151,0.6006880341595853,0.6009484805495877,0.008600965069347998,0.8522127936469922,0.9998943690540482,1.0,1.0,208,-16.98395305465736,-14.130715002357736,68.84486236950427
160,7Networks_LH_SomMot_35-lh,lh,SomMot,0.011643473266614692,0.00965802944967515,0.008689317394523565,0.5992340242143788,0.5991913003087945,0.011697958876908277,0.7999487950796428,0.999908554810886,1.0,1.0,208,-19.01375838058765,-31.45782142355233,64.50237796687279
161,7Networks_LH_SomMot_36-lh,lh,SomMot,0.01324923482766748,0.0117048250987991,0.008139512809769637,0.5977189449634038,0.5976113261955698,0.011906922280156737,0.7818227657440887,0.9999168528168891,1.0,1.0,208,-20.53849470405113,-39.21286640400155,68.25770817294696
162,7Networks_LH_SomMot_37-lh,lh,SomMot,0.011513209390968225,0.009254166475035849,0.008258077008421625,0.5993355771822308,0.5989603825782055,0.011335131248295617,0.794438469896889,0.9999099780209798,1.0,1.0,208,-13.274689418241982,-29.313758384396824,68.78446425905653
163,7Networks_LH_SomMot_4-lh,lh,SomMot,0.015956079975365325,0.01499339079566785,0.008001818087614394,0.5978942502871563,0.5985475983618085,0.006741292673093741,0.8179394106461719,0.9999087665721051,1.0,1.0,208,-38.73192432550015,-8.68678628993808,12.735589813597676
