parcel_idx,label,hemi,tau_mean,rho_mean,tau_r2_mean,rho_r2_mean,x,y,z,tau_resid,rho_resid
100,7Networks_LH_Limbic_OFC_4-lh,lh,0.03151496039916645,0.604168995657467,0.5451831021007808,0.9999046914743289,-3.754660211937337,20.102923882762088,-18.793292442756364,0.012255828467833886,-0.002838337811658209
101,7Networks_LH_Limbic_OFC_5-lh,lh,0.0179388816507941,0.6063964623468272,0.6279861456548079,0.9998864291951471,-16.13442856102314,62.18571597164117,-7.906560958747399,-0.003324894489140466,-0.0005570318012636521
102,7Networks_LH_Limbic_TempPole_1-lh,lh,0.019306296269952783,0.6101981248699645,0.565872243642711,0.9998860507186238,-39.70239196528656,-7.127084286019371,-41.0033975718879,0.0005932196291293795,0.001270591045270164
103,7Networks_LH_Limbic_TempPole_2-lh,lh,0.026258470643939408,0.6091500606095664,0.5045792585304677,0.9998954600618656,-26.86821711989882,4.227945093631065,-38.74394536141904,0.00684828244679175,0.0002932698657841515
104,7Networks_LH_Limbic_TempPole_3-lh,lh,0.020949556217953476,0.6076776702802902,0.5541443917540277,0.9998920156122563,-26.731302960713705,-10.89095298608144,-33.499243920644126,0.0029215449117467353,-0.000299182270381948
105,7Networks_LH_Limbic_TempPole_4-lh,lh,0.011013591666663795,0.6083823235773961,0.7544997970816922,0.9998738149976993,-51.7472156144016,-24.36365758002192,-32.80556341572594,-0.005887892287975401,0.0005894611870503885
106,7Networks_LH_Limbic_TempPole_5-lh,lh,0.01141085237600196,0.6087311350662578,0.7492662009780505,0.9998782674763228,-40.06220527048464,-23.02177058546632,-26.49928586129789,-0.0052243306715677226,0.0016405879252768818
107,7Networks_LH_Limbic_TempPole_6-lh,lh,0.027253754018597774,0.6057486781643634,0.5368778191739875,0.999897090515493,-47.4509777497353,8.622316963813343,-30.74130548409761,0.00823918734399676,-0.0025525213885781994
108,7Networks_LH_Limbic_TempPole_7-lh,lh,0.026709498422903953,0.6056560039270248,0.5406926688869625,0.9999001669785336,-33.55322896501292,7.815340258841119,-26.289559712617294,0.007963152531793104,-0.002065671169151684
109,7Networks_LH_Limbic_TempPole_8-lh,lh,0.018376947918987155,0.6043148599177505,0.6501027897822824,0.9998963386790573,-20.833664374048976,-22.47760446266105,-25.04633926841068,0.0016754705623038268,-0.002491142511603095
110,7Networks_LH_SalVentAttn_FrOperIns_1-lh,lh,0.024888152477977852,0.6027548158417527,0.6611259667425777,0.9999043512974587,-44.27507714153524,-1.9691270553615543,-15.561208579821743,0.007616305384735754,-0.003734033706323525
